model,client,horizon,rmse,mae,nmae,nrmse,wape,mean_actual,train_time_sec,inference_time_sec
SeasonalNaive,313,24,10674.365711054374,7387.5,0.046161056002499416,0.06669915308008668,0.046161056002499416,160037.5,0.0,0.0
SeasonalNaive,313,48,12876.836438608152,9475.0,0.058229306702515846,0.07913554177750352,0.058229306702515846,162718.75,0.0,0.0
SeasonalNaive,313,168,44006.97252654834,27798.214285714286,0.1499850660466132,0.2374393050239143,0.1499850660466132,185339.88095238095,0.0,0.0
SeasonalNaive,155,24,2938.754044375496,2505.5,0.03673881605114548,0.04309173588340497,0.03673881605114548,68197.625,0.0,0.0
SeasonalNaive,155,48,3261.9401403408165,2836.9791666666665,0.041727402623548196,0.04797789535051147,0.041727402623548196,67988.39583333333,0.0,0.0
SeasonalNaive,155,168,8004.415894337563,5360.25,0.0738199708924432,0.11023473687440112,0.0738199708924432,72612.46428571429,0.0,0.0
SeasonalNaive,236,24,2809.5878182276724,2216.875,0.04810583011377045,0.060967602717058644,0.04810583011377045,46083.291666666664,0.0,0.0
SeasonalNaive,236,48,2929.9251519165696,2425.2291666666665,0.05381169443207909,0.06501003663934056,0.053811694432079095,45068.8125,0.0,0.0
SeasonalNaive,236,168,3618.002719536212,3102.154761904762,0.06826125692125572,0.07961221542294071,0.06826125692125572,45445.32142857143,0.0,0.0
SeasonalNaive,167,24,919.5786852321738,787.625,0.035273964294977894,0.041183540021333016,0.035273964294977894,22328.791666666668,0.0,0.0
SeasonalNaive,167,48,782.2248318098832,661.2291666666666,0.02929478925823884,0.03465532489431705,0.02929478925823884,22571.5625,0.0,0.0
SeasonalNaive,167,168,2058.98250125546,1422.75,0.06040480636481701,0.08741693150369542,0.06040480636481701,23553.589285714286,0.0,0.0
SeasonalNaive,186,24,976.1515848815012,675.0,0.03169646525715225,0.045837858956904606,0.03169646525715225,21295.75,0.0,0.0
SeasonalNaive,186,48,1715.9482740358658,1261.8541666666667,0.0577058657642414,0.07847204801920088,0.0577058657642414,21867.0,0.0,0.0
SeasonalNaive,186,168,1852.3842165474975,1421.2142857142858,0.06373032349884185,0.08306491607308086,0.06373032349884185,22300.440476190477,0.0,0.0
SeasonalNaive,315,24,2530.958053122704,1740.1666666666667,0.11471514858528788,0.1668456445515383,0.11471514858528788,15169.458333333334,0.0,0.0
SeasonalNaive,315,48,2912.5813615245156,1976.1875,0.12721639944476856,0.18749643639740188,0.12721639944476856,15534.0625,0.0,0.0
SeasonalNaive,315,168,2134.3796745748155,1404.7142857142858,0.09279004753685188,0.14098894948219393,0.09279004753685187,15138.630952380952,0.0,0.0
SeasonalNaive,290,24,383.4637097127532,309.5833333333333,0.02750496977414829,0.03406888100715602,0.02750496977414829,11255.541666666666,0.0,0.0
SeasonalNaive,290,48,592.8026828830427,463.5625,0.04069572851224932,0.0520416061349685,0.04069572851224932,11390.9375,0.0,0.0
SeasonalNaive,290,168,898.4766108464345,599.8988095238095,0.05086572111798296,0.07618228273302045,0.05086572111798295,11793.77380952381,0.0,0.0
SeasonalNaive,179,24,1169.4077382732394,917.5416666666666,0.08564516819060435,0.10915484938319513,0.08564516819060435,10713.291666666666,0.0,0.0
SeasonalNaive,179,48,1364.9568292929023,984.6875,0.09178988825578821,0.12723755997183928,0.09178988825578821,10727.625,0.0,0.0
SeasonalNaive,179,168,1007.1559468078796,762.3392857142857,0.06944915911385663,0.09175197305592121,0.06944915911385664,10976.940476190477,0.0,0.0
SeasonalNaive,119,24,355.61800666820386,189.0,0.01815612829370019,0.034162148955649944,0.018156128293700193,10409.708333333334,0.0,0.0
SeasonalNaive,119,48,650.7931378966233,456.5,0.0433477812749138,0.06179723679464982,0.043347781274913795,10531.104166666666,0.0,0.0
SeasonalNaive,119,168,648.7447999608092,538.922619047619,0.050420902796959786,0.0606957239179579,0.050420902796959786,10688.47619047619,0.0,0.0
SeasonalNaive,314,24,884.013951624445,724.8333333333334,0.09888248468105909,0.12059806304347669,0.09888248468105908,7330.25,0.0,0.0
SeasonalNaive,314,48,724.9686774842988,539.6666666666666,0.07382896555655309,0.09917916155571614,0.07382896555655309,7309.6875,0.0,0.0
SeasonalNaive,314,168,1455.4111675628528,867.2619047619048,0.10781579408885295,0.18093301446193796,0.10781579408885295,8043.922619047619,0.0,0.0
SeasonalNaive,317,24,20.256686138984662,14.916666666666666,0.33117483811285847,0.44973216219762435,0.33117483811285847,45.041666666666664,0.0,0.0
SeasonalNaive,317,48,15.438048235879215,10.666666666666666,0.27089947089947086,0.39207741551439274,0.2708994708994709,39.375,0.0,0.0
SeasonalNaive,317,168,15.04635693923473,9.821428571428571,0.2303182579564489,0.3528458913723387,0.23031825795644892,42.642857142857146,0.0,0.0
SeasonalNaive,240,24,35.07610772781572,27.5,0.028445823635893458,0.03628250088214711,0.028445823635893458,966.75,0.0,0.0
SeasonalNaive,240,48,47.13058101346372,35.375,0.03647142212771441,0.04859135873544813,0.03647142212771441,969.9375,0.0,0.0
SeasonalNaive,240,168,65.06791323942495,52.44047619047619,0.05292149477693079,0.06566475899529288,0.0529214947769308,990.9107142857143,0.0,0.0
SeasonalNaive,26,24,19.00767388889726,15.041666666666666,0.05194244604316547,0.06563801055158766,0.05194244604316547,289.5833333333333,0.0,0.0
SeasonalNaive,26,48,23.774548716361927,17.770833333333332,0.059310248922263935,0.07934768032160844,0.05931024892226394,299.625,0.0,0.0
SeasonalNaive,26,168,27.342514427866636,20.517857142857142,0.06777694757953517,0.09032094112787752,0.06777694757953517,302.7261904761905,0.0,0.0
SeasonalNaive,203,24,44.56642981737113,34.833333333333336,0.047244984458886696,0.060446132558175034,0.04724498445888669,737.2916666666666,0.0,0.0
SeasonalNaive,203,48,67.91876274884086,52.041666666666664,0.07033845807287267,0.09179761817717974,0.07033845807287267,739.875,0.0,0.0
SeasonalNaive,203,168,66.2894536609457,51.36309523809524,0.06721504295873935,0.08674805236868083,0.06721504295873935,764.1607142857143,0.0,0.0
SeasonalNaive,134,24,77.09409834740919,51.333333333333336,0.13501369863013699,0.20276803948907623,0.13501369863013699,380.2083333333333,0.0,0.0
SeasonalNaive,134,48,98.1521989904794,65.89583333333333,0.17238936123828208,0.2567748829051129,0.1723893612382821,382.25,0.0,0.0
SeasonalNaive,134,168,88.79453946102338,51.57738095238095,0.16178420060120613,0.2785242933858348,0.16178420060120616,318.80357142857144,0.0,0.0
SeasonalNaive,133,24,798.7004809897971,633.7083333333334,0.05822964125732226,0.07339029650352284,0.05822964125732225,10882.916666666666,0.0,0.0
SeasonalNaive,133,48,825.3715325031914,666.8333333333334,0.061192574607605105,0.07574097837794785,0.0611925746076051,10897.291666666666,0.0,0.0
SeasonalNaive,133,168,785.9234521370689,643.2083333333334,0.061066049256785514,0.0746153893739952,0.06106604925678551,10532.994047619048,0.0,0.0
SeasonalNaive,220,24,80.69154230772888,60.958333333333336,0.0947477494980895,0.12541914483423958,0.0947477494980895,643.375,0.0,0.0
SeasonalNaive,220,48,62.82780700719494,44.375,0.06826704272298964,0.09665506670764902,0.06826704272298965,650.0208333333334,0.0,0.0
SeasonalNaive,220,168,66.77351556532261,52.11904761904762,0.0769399752203369,0.09857341735256714,0.0769399752203369,677.3988095238095,0.0,0.0
SeasonalNaive,29,24,85.35660489967955,63.0,0.3474264705882353,0.4707165711379387,0.3474264705882353,181.33333333333334,0.0,0.0
SeasonalNaive,29,48,69.99866070147343,47.6875,0.23496202011907205,0.3448917792722977,0.23496202011907205,202.95833333333334,0.0,0.0
SeasonalNaive,29,168,54.10439644137724,37.42857142857143,0.24590356262954127,0.35546277432057316,0.24590356262954127,152.20833333333334,0.0,0.0
SeasonalNaive,62,24,12.374368670764582,8.291666666666666,0.05260375363468146,0.07850511448542162,0.05260375363468147,157.625,0.0,0.0
SeasonalNaive,62,48,14.93457956109467,10.166666666666666,0.06424433912585571,0.09437333055983994,0.06424433912585571,158.25,0.0,0.0
SeasonalNaive,62,168,14.757766316982616,10.077380952380953,0.06347718495744442,0.09295882198841736,0.06347718495744442,158.75595238095238,0.0,0.0
SeasonalNaive,269,24,0.0,0.0,0.0,0.0,0.0,303.375,0.0,0.0
SeasonalNaive,269,48,0.0,0.0,0.0,0.0,0.0,306.0,0.0,0.0
SeasonalNaive,269,168,0.0,0.0,0.0,0.0,0.0,304.9761904761905,0.0,0.0
