client_id,horizon,MSE,MAE,RMSE,train_time_sec,inference_time_sec,model,exog_setting,context_rows,uses_future_exog,future_exog_strategy,prediction_strategy
26,24,173.7785,10.5881,13.1825,0,14.57,tabpfn_ts_exog_past_weather,past_exog_context_only,1000,False,calendar_known_weather_persisted,tabpfn_ts_trajectory
26,48,495.0245,14.7803,22.2491,0,14.79,tabpfn_ts_exog_past_weather,past_exog_context_only,1000,False,calendar_known_weather_persisted,tabpfn_ts_trajectory
26,168,654.4011,19.042,25.5813,0,16.1,tabpfn_ts_exog_past_weather,past_exog_context_only,1000,False,calendar_known_weather_persisted,tabpfn_ts_trajectory
203,24,1696.4055,31.2822,41.1874,0,13.92,tabpfn_ts_exog_past_weather,past_exog_context_only,1000,False,calendar_known_weather_persisted,tabpfn_ts_trajectory
203,48,1788.8154,31.1181,42.2944,0,14.96,tabpfn_ts_exog_past_weather,past_exog_context_only,1000,False,calendar_known_weather_persisted,tabpfn_ts_trajectory
203,168,3265.8811,42.7338,57.1479,0,15.86,tabpfn_ts_exog_past_weather,past_exog_context_only,1000,False,calendar_known_weather_persisted,tabpfn_ts_trajectory
134,24,2220.4441,36.2601,47.1216,0,14.85,tabpfn_ts_exog_past_weather,past_exog_context_only,1000,False,calendar_known_weather_persisted,tabpfn_ts_trajectory
134,48,2149.1818,35.1698,46.3593,0,15.62,tabpfn_ts_exog_past_weather,past_exog_context_only,1000,False,calendar_known_weather_persisted,tabpfn_ts_trajectory
134,168,1773.0449,27.8011,42.1075,0,16.51,tabpfn_ts_exog_past_weather,past_exog_context_only,1000,False,calendar_known_weather_persisted,tabpfn_ts_trajectory
133,24,467184.3406,576.2399,683.5088,0,14.55,tabpfn_ts_exog_past_weather,past_exog_context_only,1000,False,calendar_known_weather_persisted,tabpfn_ts_trajectory
133,48,476877.245,572.5319,690.563,0,15.4,tabpfn_ts_exog_past_weather,past_exog_context_only,1000,False,calendar_known_weather_persisted,tabpfn_ts_trajectory
133,168,1003791.3951,864.8794,1001.8939,0,17.46,tabpfn_ts_exog_past_weather,past_exog_context_only,1000,False,calendar_known_weather_persisted,tabpfn_ts_trajectory
220,24,1182.7839,28.4498,34.3916,0,14.04,tabpfn_ts_exog_past_weather,past_exog_context_only,1000,False,calendar_known_weather_persisted,tabpfn_ts_trajectory
220,48,1487.997,30.5108,38.5746,0,14.04,tabpfn_ts_exog_past_weather,past_exog_context_only,1000,False,calendar_known_weather_persisted,tabpfn_ts_trajectory
220,168,4576.6082,54.166,67.6506,0,14.55,tabpfn_ts_exog_past_weather,past_exog_context_only,1000,False,calendar_known_weather_persisted,tabpfn_ts_trajectory
29,24,1221.8847,31.3841,34.9555,0,14.7,tabpfn_ts_exog_past_weather,past_exog_context_only,1000,False,calendar_known_weather_persisted,tabpfn_ts_trajectory
29,48,3008.8847,43.4319,54.8533,0,14.96,tabpfn_ts_exog_past_weather,past_exog_context_only,1000,False,calendar_known_weather_persisted,tabpfn_ts_trajectory
29,168,2743.6382,38.177,52.3797,0,15.97,tabpfn_ts_exog_past_weather,past_exog_context_only,1000,False,calendar_known_weather_persisted,tabpfn_ts_trajectory
62,24,104.9203,8.5371,10.2431,0,14.21,tabpfn_ts_exog_past_weather,past_exog_context_only,1000,False,calendar_known_weather_persisted,tabpfn_ts_trajectory
62,48,158.8718,9.7993,12.6044,0,14.9,tabpfn_ts_exog_past_weather,past_exog_context_only,1000,False,calendar_known_weather_persisted,tabpfn_ts_trajectory
62,168,155.2468,9.1675,12.4598,0,16.32,tabpfn_ts_exog_past_weather,past_exog_context_only,1000,False,calendar_known_weather_persisted,tabpfn_ts_trajectory
269,24,2.4792,1.1873,1.5745,0,14.37,tabpfn_ts_exog_past_weather,past_exog_context_only,1000,False,calendar_known_weather_persisted,tabpfn_ts_trajectory
269,48,1.8673,0.9991,1.3665,0,14.62,tabpfn_ts_exog_past_weather,past_exog_context_only,1000,False,calendar_known_weather_persisted,tabpfn_ts_trajectory
269,168,1.6917,0.8657,1.3006,0,15.86,tabpfn_ts_exog_past_weather,past_exog_context_only,1000,False,calendar_known_weather_persisted,tabpfn_ts_trajectory
